epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,1786.41,0.84581,1.46317,0.7102,1.0127,0.71588,0.67785,0.71886,0.48753,0.67659,0.60043,0.64172,0.34453,1.1639,2.49351,1.1567,1.14676,0.00036734,0.00036734,0.00036734
69,1813.32,0.84224,1.47632,0.71982,1.00635,0.71588,0.67785,0.71886,0.48753,0.67659,0.60043,0.64172,0.34453,1.1639,2.49351,1.1567,1.14676,0.00036536,0.00036536,0.00036536
70,1839.45,0.80239,1.50107,0.70222,0.98601,0.71866,0.71729,0.74161,0.49426,0.64047,0.64103,0.65525,0.36071,1.17827,2.50448,1.15204,1.15,0.00036338,0.00036338,0.00036338
71,1865.24,0.79823,1.38287,0.69375,1.00933,0.71866,0.71729,0.74161,0.49426,0.64047,0.64103,0.65525,0.36071,1.17827,2.50448,1.15204,1.15,0.0003614,0.0003614,0.0003614
72,1891.19,0.79687,1.4743,0.69935,1.00865,0.78909,0.68824,0.75102,0.50818,0.70328,0.62904,0.67503,0.38016,1.16606,2.45326,1.10159,1.1497,0.00035942,0.00035942,0.00035942
73,1917.62,0.76263,1.35694,0.65489,0.97314,0.78909,0.68824,0.75102,0.50818,0.70328,0.62904,0.67503,0.38016,1.16606,2.45326,1.10159,1.1497,0.00035744,0.00035744,0.00035744
74,1942.82,0.80004,1.38503,0.67651,0.98408,0.80818,0.67396,0.75093,0.51556,0.73235,0.62682,0.67792,0.38332,1.14427,2.47317,1.08639,1.14289,0.00035546,0.00035546,0.00035546
75,1967.61,0.8135,1.47112,0.69635,1.00967,0.80818,0.67396,0.75093,0.51556,0.73235,0.62682,0.67792,0.38332,1.14427,2.47317,1.08639,1.14289,0.00035348,0.00035348,0.00035348
76,1992.89,0.79969,1.30582,0.66579,1.00599,0.75105,0.73106,0.76343,0.52199,0.65666,0.6526,0.68411,0.39317,1.13058,2.48645,1.04555,1.12622,0.0003515,0.0003515,0.0003515
77,2018.91,0.78062,1.30766,0.63147,0.97759,0.75105,0.73106,0.76343,0.52199,0.65666,0.6526,0.68411,0.39317,1.13058,2.48645,1.04555,1.12622,0.00034952,0.00034952,0.00034952
78,2044.64,0.77438,1.31505,0.63609,0.97294,0.74265,0.74029,0.76472,0.51602,0.69239,0.68123,0.7143,0.39534,1.17819,2.48403,1.06649,1.15232,0.00034754,0.00034754,0.00034754
79,2071.57,0.81257,1.32578,0.65371,0.97128,0.74265,0.74029,0.76472,0.51602,0.69239,0.68123,0.7143,0.39534,1.17819,2.48403,1.06649,1.15232,0.00034556,0.00034556,0.00034556
80,2097.19,0.78648,1.41065,0.65698,0.97858,0.75042,0.7385,0.75951,0.52504,0.69441,0.67399,0.69433,0.38832,1.17702,2.46776,1.07199,1.16387,0.00034358,0.00034358,0.00034358
81,2124,0.79677,1.38982,0.64561,0.99372,0.75042,0.7385,0.75951,0.52504,0.69441,0.67399,0.69433,0.38832,1.17702,2.46776,1.07199,1.16387,0.0003416,0.0003416,0.0003416
